일자,총유입수량,전력량
2021-01-01,6134,15335
2021-01-02,6155,15387.5
2021-01-03,6024,15060
2021-01-04,6011,15027.5
2021-01-05,6025,15062.5
2021-01-06,6060,15150
2021-01-07,6404,16010
2021-01-08,6840,17100
2021-01-09,7131,17827.5
2021-01-10,6929,17322.5
2021-01-11,6763,16907.5
2021-01-12,6942,17355
2021-01-13,6903,17257.5
2021-01-14,6682,16705
2021-01-15,7141,17852.5
2021-01-16,7152,17880
2021-01-17,6977,17442.5
2021-01-18,7090,17725
2021-01-19,6862,17155
2021-01-20,6601,16502.5
2021-01-21,7280,18200
2021-01-22,6627,16567.5
2021-01-23,6318,15795
2021-01-24,6318,15795
2021-01-25,6509,16272.5
2021-01-26,6227,15567.5
2021-01-27,6425,16062.5
2021-01-28,6700,16750
2021-01-29,6668,16670
2021-01-30,6874,17185
2021-01-31,6580,16450
2021-02-01,7058,17645
2021-02-02,6999,17497.5
2021-02-03,6762,16905
2021-02-04,6777,16942.5
2021-02-05,7270,18175
2021-02-06,6851,17127.5
2021-02-07,6708,16770
2021-02-08,7035,17587.5
2021-02-09,6624,16560
2021-02-10,6857,17142.5
2021-02-11,7172,17930
2021-02-12,6037,15092.5
2021-02-13,6498,16245
2021-02-14,6626,16565
2021-02-15,6314,15785
2021-02-16,5152,12880
2021-02-17,6638,16595
2021-02-18,6588,16470
2021-02-19,6375,15937.5
2021-02-20,6702,16755
2021-02-21,6391,15977.5
2021-02-22,6390,15975
2021-02-23,6408,16020
2021-02-24,6334,15835
2021-02-25,6449,16122.5
2021-02-26,6330,15825
2021-02-27,6542,16355
2021-02-28,6677,16692.5
2021-03-01,12498,31245
2021-03-02,7042,17605
2021-03-03,6516,16290
2021-03-04,6441,16102.5
2021-03-05,6304,15760
2021-03-06,6500,16250
2021-03-07,6533,16332.5
2021-03-08,6814,17035
2021-03-09,6497,16242.5
2021-03-10,6132,15330
2021-03-11,6252,15630
2021-03-12,6297,15742.5
2021-03-13,6238,15595
2021-03-14,6510,16275
2021-03-15,6532,16330
2021-03-16,6311,15777.5
2021-03-17,6400,16000
2021-03-18,6403,16007.5
2021-03-19,6514,16285
2021-03-20,6579,16447.5
2021-03-21,6726,16815
2021-03-22,6279,15697.5
2021-03-23,6100,15250
2021-03-24,6406,16015
2021-03-25,6384,15960
2021-03-26,6187,15467.5
2021-03-27,10288,25720
2021-03-28,7533,18832.5
2021-03-29,6793,16982.5
2021-03-30,6823,17057.5
2021-03-31,6836,17090
2021-04-01,6985,17462.5
2021-04-02,6880,17200
2021-04-03,11077,27692.5
2021-04-04,8280,20700
2021-04-05,8268,20670
2021-04-06,7644,19110
2021-04-07,7578,18945
2021-04-08,6921,17302.5
2021-04-09,6619,16547.5
2021-04-10,6751,16877.5
2021-04-11,7673,19182.5
2021-04-12,16060,40150
2021-04-13,13191,32977.5
2021-04-14,8139,20347.5
2021-04-15,6776,16940
2021-04-16,6544,16360
2021-04-17,6872,17180
2021-04-18,7044,17610
2021-04-19,6863,17157.5
2021-04-20,6851,17127.5
2021-04-21,6949,17372.5
2021-04-22,6814,17035
2021-04-23,6823,17057.5
2021-04-24,6950,17375
2021-04-25,7122,17805
2021-04-26,6866,17165
2021-04-27,7261,18152.5
2021-04-28,7023,17557.5
2021-04-29,7983,19957.5
2021-04-30,7983,19957.5
2021-05-01,7275,18187.5
2021-05-02,7389,18472.5
2021-05-03,7336,18340
2021-05-04,11078,27695
2021-05-05,8790,21975
2021-05-06,7852,19630
2021-05-07,8354,20885
2021-05-08,8298,20745
2021-05-09,8556,21390
2021-05-10,7572,18930
2021-05-11,8032,20080
2021-05-12,8324,20810
2021-05-13,8423,21057.5
2021-05-14,8207,20517.5
2021-05-15,11381,28452.5
2021-05-16,9861,24652.5
2021-05-17,9635,24087.5
2021-05-18,9005,22512.5
2021-05-19,8332,20830
2021-05-20,9273,23182.5
2021-05-21,8525,21312.5
2021-05-22,8540,21350
2021-05-23,8180,20450
2021-05-24,8082,20205
2021-05-25,8422,21055
2021-05-26,7838,19595
2021-05-27,10803,27007.5
2021-05-28,9870,24675
2021-05-29,8781,21952.5
2021-05-30,9624,24060
2021-05-31,10645,26612.5
2021-06-01,9150,22875
2021-06-02,8912,22280
2021-06-03,9605,24012.5
2021-06-04,8899,22247.5
2021-06-05,8691,21727.5
2021-06-06,8742,21855
2021-06-07,9225,23062.5
2021-06-08,8179,20447.5
2021-06-09,7979,19947.5
2021-06-10,8716,21790
2021-06-11,8942,22355
2021-06-12,9093,22732.5
2021-06-13,8600,21500
2021-06-14,8380,20950
2021-06-15,7516,18790
2021-06-16,7665,19162.5
2021-06-17,7300,18250
2021-06-18,8412,21030
2021-06-19,7809,19522.5
2021-06-20,7456,18640
2021-06-21,7456,18640
2021-06-22,7245,18112.5
2021-06-23,6942,17355
2021-06-24,7149,17872.5
2021-06-25,7560,18900
2021-06-26,7447,18617.5
2021-06-27,7933,19832.5
2021-06-28,7565,18912.5
2021-06-29,8200,20500
2021-06-30,7454,18635
2021-07-01,7095,17737.5
2021-07-02,6978,17445
2021-07-03,7448,18620
2021-07-04,9880,24700
2021-07-05,7904,19760
2021-07-06,7189,17972.5
2021-07-07,6810,17025
2021-07-08,7299,18247.5
2021-07-09,7195,17987.5
2021-07-10,7192,17980
2021-07-11,7468,18670
2021-07-12,7687,19217.5
2021-07-13,7813,19532.5
2021-07-14,7980,19950
2021-07-15,7997,19992.5
2021-07-16,8696,21740
2021-07-17,8778,21945
2021-07-18,7638,19095
2021-07-19,7496,18740
2021-07-20,7327,18317.5
2021-07-21,7678,19195
2021-07-22,8922,22305
2021-07-23,8840,22100
2021-07-24,9054,22635
2021-07-25,9054,22635
2021-07-26,8949,22372.5
2021-07-27,8565,21412.5
2021-07-28,8273,20682.5
2021-07-29,7892,19730
2021-07-30,7974,19935
2021-07-31,8403,21007.5
2021-08-01,8267,20667.5
2021-08-02,7783,19457.5
2021-08-03,7787,19467.5
2021-08-04,7950,19875
2021-08-05,8025,20062.5
2021-08-06,7859,19647.5
2021-08-07,7995,19987.5
2021-08-08,7715,19287.5
2021-08-09,7697,19242.5
2021-08-10,7459,18647.5
2021-08-11,7485,18712.5
2021-08-12,7550,18875
2021-08-13,7553,18882.5
2021-08-14,7547,18867.5
2021-08-15,7547,18867.5
2021-08-16,7628,19070
2021-08-17,10612,26530
2021-08-18,9358,23395
2021-08-19,8828,22070
2021-08-20,8200,20500
2021-08-21,9370,23425
2021-08-22,7906,19765
2021-08-23,9201,23002.5
2021-08-24,8507,21267.5
2021-08-25,8424,21060
2021-08-26,7844,19610
2021-08-27,7164,17910
2021-08-28,7274,18185
2021-08-29,7278,18195
2021-08-30,7146,17865
2021-08-31,9565,23912.5
2021-09-01,7571,18927.5
2021-09-02,7224,18060
2021-09-03,7039,17597.5
2021-09-04,7031,17577.5
2021-09-05,7054,17635
